Year,Sex,Age_Group,Education_Level,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
2023,Male,18-24,Less than 9th grade,3312,980,6073,3728,44156,4108,1520,695,262,27531,11861,755,3201,9255,11259,3274,3995,3730,5626,416,6759,4738,7782,3483,3422,4958,1129,1239,1940,929,6633,2024,20637,11576,368,12322,4397,3171,11502,1141,4035,581,5150,42704,3009,234,4352,4625,1218,5301,150,3196
2023,Male,18-24,"9th to 12th grade, no diploma",27551,4808,50562,18245,162971,28318,17507,5746,2745,110035,68084,6203,13155,62371,45510,14647,15379,24877,26322,6593,33589,28969,58435,28874,19324,30975,7961,10394,20701,5536,41845,15722,71231,57045,3970,62790,31514,20687,60426,4921,29396,6665,30698,183774,22538,2635,36314,42700,8319,25530,3342,8483
2023,Male,18-24,High school graduate (includes equivalency),102265,20171,146035,62317,728189,109575,66140,20001,8198,345654,226927,30524,39685,223770,145404,63205,58405,93800,81672,25844,98135,121283,183224,97084,60078,124091,22653,34884,63376,24715,142484,44262,295032,216955,14061,231565,92389,77344,245786,19145,106122,16353,134333,611109,77248,13399,173704,142533,39685,115043,10806,48169
2023,Male,18-24,"Some college, no degree",73626,9432,107933,41853,600426,92692,52883,12487,9370,270958,159362,17755,31190,174324,93590,55207,54322,59321,70320,16697,83274,110263,149670,76080,41517,85986,14919,34933,31805,19626,113440,29942,283205,156895,16810,152688,57540,48242,186240,18300,75164,13500,96218,444342,77504,11683,126999,88358,22540,86111,7332,63446
2023,Male,18-24,Associate's degree,10337,1223,17636,6547,93843,11200,5996,2061,298,72851,20379,3910,4589,31808,12649,10127,9564,9212,6230,1508,11977,8237,19351,19135,14353,13014,2390,7313,5629,3455,21942,3890,50471,30086,3742,19881,9253,11397,18923,2225,9908,3608,19938,85774,11033,1067,19339,23134,4024,15665,2663,14017
2023,Male,18-24,Bachelor's degree,21267,1015,31440,12284,179881,29257,24771,3142,8998,82095,44998,4873,4765,72163,32533,17668,16346,18576,11546,6428,27825,58144,45471,31027,8919,27203,4466,9952,9235,6524,62532,7157,129842,54327,4276,50728,15286,16456,59664,6027,21634,3899,29382,132087,10311,3092,48638,37966,6150,29336,1992,12285
2023,Male,18-24,Graduate or professional degree,2558,0,2276,936,15219,3049,3714,479,566,7475,4123,666,303,6080,3837,913,1465,580,1809,249,2561,5229,3268,994,966,3121,73,287,357,548,7177,231,16199,3978,297,3755,600,1754,5939,1424,1410,716,3010,11022,877,142,5479,2674,1064,2086,10,466
2023,Male,25-34,Less than 9th grade,6753,1464,14341,5438,106372,8492,5550,2053,605,49783,25777,1990,2591,16079,16203,5318,5044,6532,9467,543,14926,12014,14053,6406,5470,12141,2062,3146,6544,1531,18065,4633,42899,19933,364,22162,8698,5221,17444,2178,8659,944,12857,84212,6110,153,14460,12570,1911,6362,869,8009
2023,Male,25-34,"9th to 12th grade, no diploma",19583,3572,35397,12630,170843,21363,9313,3764,2529,80893,46338,5214,8291,32860,28840,7071,11065,17493,24802,1904,17203,22891,39462,13495,12349,15785,2110,4415,17780,3048,17372,8582,67606,38843,2554,36864,18509,21854,37677,4351,26337,3231,21955,135780,10040,1555,23397,31245,10459,15018,1875,8638
2023,Male,25-34,High school graduate (includes equivalency),105205,22556,151655,74607,730390,107510,59867,21317,7198,447407,217975,28435,45118,218457,153605,59286,48070,107725,108476,24915,104334,116308,197129,91012,51821,130027,24813,32170,76755,26114,145701,40850,300305,189729,15396,259442,97201,86237,267991,20695,97544,17415,170382,625810,67295,13387,165546,151324,45370,110599,11170,59561
2023,Male,25-34,"Some college, no degree",67364,14510,131205,42431,615324,100119,40824,11078,4951,266608,157347,17505,29708,157876,85738,40567,46265,62283,62068,16468,70316,56211,146541,67733,36262,83839,15134,29100,53864,16669,92699,37224,208654,153185,14681,155839,59109,63685,130474,14676,71362,11099,94135,475138,58868,6557,113344,114785,18644,74863,11384,31918
2023,Male,25-34,Associate's degree,27457,4559,44439,15793,197003,36091,13891,4701,736,134914,52071,12227,10546,63060,32689,25013,16374,28291,19727,8660,28008,23582,51880,43765,21694,32623,8147,17763,20715,5814,39873,13061,104495,62540,10359,57719,18369,26547,66808,4464,27213,8614,35103,184095,24931,3246,42087,50231,7273,40115,3544,26896
2023,Male,25-34,Bachelor's degree,61899,8700,113940,33242,758590,155379,63918,12147,27611,326333,185376,21594,27101,257180,97001,52702,48037,58917,46438,24809,104029,166804,164471,117970,26253,93270,17718,31979,44102,27282,198071,25375,441728,187518,13676,178674,54143,75640,230451,21322,76703,13668,111802,510705,69231,10997,156581,170983,18274,103439,7462,54820
2023,Male,25-34,Graduate or professional degree,25426,3301,41437,14247,319451,53764,33661,7455,23505,119038,64676,8560,7729,102500,35772,14120,16860,23083,19069,5704,53476,87148,57815,36128,13139,37972,5099,12026,12882,10412,81806,12415,192568,66320,4868,72284,16605,22824,87618,9483,25257,3503,43353,201376,25511,2229,68104,78124,4028,29624,2076,13644
2023,Male,35-44,Less than 9th grade,13942,485,17190,8863,202905,17069,10394,2779,1266,70654,40558,1996,4762,37991,19957,7737,8194,7549,14825,1093,24236,19229,18173,11991,8658,10208,1075,5579,10734,1745,35409,7136,68371,35056,1080,23288,11857,11845,24223,3426,13489,931,23960,143433,8222,400,20807,20580,1917,10111,1105,11400
2023,Male,35-44,"9th to 12th grade, no diploma",27000,2188,38517,13991,216116,22161,11205,5493,577,102036,51940,3764,7170,46133,27845,9447,12746,19133,27009,2482,18878,19604,37616,13226,22081,20767,4155,6961,18174,3757,26058,13125,77625,44961,2212,38598,21018,17695,39153,2873,27107,2437,28339,162755,11710,1327,30336,31353,8111,15625,2745,15993
2023,Male,35-44,High school graduate (includes equivalency),93620,17977,115860,65998,606058,88868,61527,17430,3899,396782,187394,27739,35364,200222,128087,56590,48600,87700,100330,26028,94223,101082,161195,87466,53545,112076,21929,28163,63400,26681,143131,39022,282967,163575,11603,211896,85107,70207,245996,20703,97348,18495,142978,552568,53179,11190,144782,130214,44781,108067,12505,57391
2023,Male,35-44,"Some college, no degree",65526,12579,108116,38231,501859,84911,34475,10097,6048,243552,129903,16139,27698,155007,85609,38533,38847,63690,56921,18056,62721,65133,134305,69609,38987,79866,15587,24307,54277,15263,88401,28058,181587,123362,11979,139091,57276,61292,124631,10322,64299,12326,85030,408402,46435,6299,98634,106274,18125,77776,7587,24079
2023,Male,35-44,Associate's degree,26579,4684,44916,18402,197001,39182,13898,4101,539,147854,56226,11379,9529,65021,42271,27668,17466,26106,28857,10453,28022,26792,53027,54574,22063,36983,9257,18557,18117,7385,38067,14110,108111,59715,9134,69260,21432,26926,79995,5867,28525,8088,35766,163384,18988,2914,41797,52123,9189,43065,6025,28707
2023,Male,35-44,Bachelor's degree,54602,14029,94292,35556,648653,127498,60614,13498,15803,315363,150608,25517,32753,203193,91223,46408,46298,53391,52193,18958,100810,120937,130062,105616,27683,85225,17702,33353,45092,24304,176005,20290,327386,156124,14534,163753,46824,71974,200102,19108,71348,13179,92222,486894,60480,11523,148630,144720,16044,83305,8987,37724
