Year,Sex,Age_Group,Education_Level,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
2019,Male,18-24,Less than 9th grade,2962,326,6526,2208,25940,4586,2266,476,365,18578,10586,308,1231,7759,7134,3113,2243,3303,5157,165,5124,4326,9236,2369,2990,4463,1132,1911,2492,154,5807,2417,14393,7385,485,8596,4169,3115,11877,606,2847,426,4223,33097,779,433,3672,4272,1314,4284,0,4822
2019,Male,18-24,"9th to 12th grade, no diploma",30404,5320,52651,16760,187753,34240,20298,5139,1828,134549,79834,4676,10133,66839,47834,16209,17822,26821,36241,6350,32237,31069,59960,29481,23254,32921,6634,8888,17666,7391,34900,16698,91786,64508,4074,65370,27615,26389,65092,6365,34237,5764,34712,189809,21921,2451,39432,49337,9136,28685,3656,12324
2019,Male,18-24,High school graduate (includes equivalency),85196,15718,136413,54261,647649,92935,57891,15862,9479,320492,202779,31748,35511,191794,130103,53002,54101,90022,84163,20636,92772,106613,172969,88218,48081,108851,20719,32863,59677,22518,127169,42256,279381,184055,11690,214605,78986,64043,218969,17976,90996,15416,126779,552752,67924,12711,158680,120876,34251,100801,10449,47118
2019,Male,18-24,"Some college, no degree",84607,14292,117604,52896,758689,103699,65370,15845,12638,276703,174488,20745,31699,216473,113373,64109,56516,69007,73916,20356,92711,132419,171808,79692,62035,98369,18424,36336,38715,22509,137094,30265,321273,193508,18940,192830,66674,67390,193964,21879,88860,14561,108554,499866,77258,11666,155889,110020,25010,101649,10788,69580
2019,Male,18-24,Associate's degree,11400,2210,14768,7364,88447,10787,7973,822,346,68530,17759,3558,4058,35173,10835,10461,11176,10876,4579,2224,12599,9397,21274,16749,10323,13485,2420,7159,5344,2347,19898,5382,45209,27877,4443,16785,9740,8876,21118,1388,10318,2799,14528,63896,10871,1234,18488,27181,2313,15407,2100,13225
2019,Male,18-24,Bachelor's degree,11150,724,27656,9613,171744,29103,19702,3024,7853,75599,38440,3558,4621,70325,27787,11903,13153,13732,14198,5098,32457,53765,43021,29178,7616,24005,3224,9620,6258,8133,55978,4976,125654,41959,3771,39851,13161,16783,63618,6270,16067,3461,25754,105691,6362,4096,41191,32070,6042,26017,1499,13106
2019,Male,18-24,Graduate or professional degree,929,0,2997,721,11867,1318,1753,37,117,4706,2576,106,299,4052,2125,857,505,939,440,267,2664,4414,4354,958,124,2178,244,730,204,94,4095,1248,10066,4478,263,2830,799,1319,3952,223,1291,233,1535,8142,171,0,3653,1950,479,1322,258,799
2019,Male,25-34,Less than 9th grade,10176,754,16211,6748,117773,12328,4617,1928,2084,48612,23135,763,2360,18654,16091,4533,5306,8015,11940,844,10951,14450,13798,7584,4153,8766,899,2796,6834,1662,18364,2850,43608,20720,586,18563,8034,8765,21504,2050,9431,743,10360,92597,2998,221,12647,15573,801,6522,985,7694
2019,Male,25-34,"9th to 12th grade, no diploma",30636,3562,51210,11593,222848,19527,12913,4756,3523,107933,53448,2840,7157,49555,33175,7976,10590,19897,33773,4118,22003,17417,38947,14281,20181,22919,4048,6002,21151,3481,22040,13049,76806,54735,3643,47538,21481,18259,45892,4350,29498,4549,31196,159196,10488,2734,32030,34349,7524,17143,1732,10285
2019,Male,25-34,High school graduate (includes equivalency),104181,20902,142682,72220,763090,122336,60677,21837,9479,434184,214058,33212,38245,221391,145774,55428,48807,98250,111866,26734,107544,109926,187769,91558,56234,127414,19310,31088,77492,26441,144701,42380,342601,176525,17944,247033,97055,86505,269505,19167,95692,16138,153446,627350,62011,13290,147655,151991,48611,111293,13747,58545
