Year,Sex,Age_Group,Education_Level,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
2018,Male,18-24,Less than 9th grade,3553,358,7116,2060,25665,4515,2574,940,136,18577,10474,892,1108,7193,7850,3003,2322,4851,4987,421,4316,5930,7887,3911,3110,5265,239,1454,1883,322,5211,1362,15692,8502,441,9215,3405,2586,11531,794,3852,687,5011,27758,2654,455,5737,4632,1029,4601,140,5979
2018,Male,18-24,"9th to 12th grade, no diploma",30855,4159,53104,16870,202335,34602,19528,5092,3376,142873,85570,5074,13602,72103,50837,17620,16364,24466,39994,5789,29665,37766,64148,31943,21260,33917,6992,9951,18628,5676,42989,19160,98095,66483,3278,70294,32220,26486,67672,4842,34625,6071,40594,202824,21893,2835,43924,45307,9761,29978,3574,11213
2018,Male,18-24,High school graduate (includes equivalency),92087,18021,125103,61540,643676,97703,56273,16028,11535,312151,189699,29912,36104,191846,116898,47983,50071,91051,84288,22208,93127,103913,161638,82294,53707,100588,19202,30397,57015,24199,123143,35410,264818,181823,13977,205835,71981,66942,228332,21269,94820,14226,111847,533919,62906,13243,152017,122641,36256,96360,10674,48781
2018,Male,18-24,"Some college, no degree",78026,12595,130173,53055,788192,97377,66635,14557,11279,292459,173031,22371,27614,220938,122216,64215,61533,71620,73041,18232,98720,135289,189029,92407,59222,108925,19086,37232,38631,23934,140786,36930,346754,183709,20472,195960,70202,65791,193341,19909,93142,15282,114183,530660,76551,12249,158110,113995,27989,106165,8358,70789
2018,Male,18-24,Associate's degree,14302,992,14414,7056,88991,9004,6800,2331,470,76499,19835,4338,3036,29910,10766,11260,10284,9078,5363,2860,13304,8518,20869,15391,9893,13331,2320,5905,4445,2357,19860,4408,50998,23729,3887,18542,7897,9635,23220,2055,11502,2981,14883,60038,10224,1110,18761,22695,2704,15481,979,12340
2018,Male,18-24,Bachelor's degree,13821,1873,25230,7771,170542,27904,22079,3644,6886,64022,42924,3746,3838,72764,28013,17525,12726,14224,12924,4344,30357,51846,42885,27266,8580,24190,4251,9548,5764,7595,54048,4890,116806,41719,2935,44935,10821,14176,63710,6692,15668,2791,24866,94366,7601,3565,43481,30627,6334,25524,1975,9617
2018,Male,18-24,Graduate or professional degree,1228,144,1364,436,13146,3499,2141,0,566,5007,2028,363,392,6437,1806,507,1545,1866,1262,674,2223,5768,4677,1182,460,2245,109,347,291,715,5611,320,11322,2386,0,2885,856,1234,3453,129,1103,219,1402,10104,1278,296,2818,2994,312,2147,188,660
2018,Male,25-34,Less than 9th grade,7292,765,14223,3251,125033,9684,6201,2705,1051,51088,26481,2014,2303,20062,14103,4092,4801,7610,12906,694,11504,11926,11091,6179,7002,6537,723,3858,5709,1122,18880,3835,51868,22493,912,16153,8339,8447,17953,1653,7330,1505,13443,91465,3821,575,14433,13119,2250,7553,545,10230
2018,Male,25-34,"9th to 12th grade, no diploma",32551,3091,45635,13568,238416,27778,12900,5329,2797,102978,56966,3580,7171,51861,35029,9593,10019,22822,30799,4093,23311,22245,43025,17957,18719,23415,2616,6098,19722,5312,24028,16897,86146,52173,3340,45933,21568,20329,49333,2739,27298,3220,29562,167231,13102,1359,32968,35910,8223,19314,2639,10314
2018,Male,25-34,High school graduate (includes equivalency),96800,22036,144812,73828,775672,109018,64579,21724,9042,433196,210878,32640,37562,224722,140933,57103,46092,93298,112559,27099,98433,111976,179688,84996,56651,119557,22486,29869,74034,27893,144920,43877,346234,181159,15868,246439,92939,74982,269458,20959,96837,17332,151947,606280,57515,10955,156923,143809,41733,106651,12985,58841
2018,Male,25-34,"Some college, no degree",75533,17025,124501,47442,725900,103258,42057,13519,6647,292665,166498,26535,30175,180773,93445,43645,44675,72454,70719,17011,88789,78763,169365,82427,46593,101010,14439,29943,63155,17235,113906,40551,244140,168468,14650,168862,66800,79808,145211,16102,73035,12377,103224,523020,62797,7325,124606,131301,20542,86271,12149,32496
2018,Male,25-34,Associate's degree,24710,5585,44656,13655,223851,38255,15939,4504,899,145156,48274,12543,10439,67830,34400,26165,21169,22241,20576,7472,30739,29227,51505,48835,18312,33832,7195,16601,16212,6432,39718,11366,118262,58331,10405,60918,18712,24999,68806,5667,29449,8747,27237,143580,25185,2293,47937,55137,6259,43017,3899,25015
2018,Male,25-34,Bachelor's degree,55362,10745,98578,30408,728289,135648,60500,11120,32215,270633,149056,20463,20764,248681,92800,46850,48337,48582,54551,19261,107284,162466,147615,112546,26199,93171,15588,33479,38776,20691,175892,20855,413360,155136,15720,162471,45960,68607,225123,18968,65296,14014,95108,429981,53341,12309,156167,157016,18026,85100,5926,38873
2018,Male,25-34,Graduate or professional degree,19017,3324,35241,13267,297096,41355,26972,4896,23853,99984,54573,6254,7639,98450,29264,13533,17110,22944,17987,5110,51955,80831,56764,34306,9033,32148,4064,11242,9775,8356,67975,8350,181508,48502,2763,70540,17517,24653,84543,8115,21068,5207,32616,163157,20324,2631,62883,59532,7302,28426,3198,10250
2018,Male,35-44,Less than 9th grade,9068,979,22746,8713,219635,16677,8584,2508,1120,61540,34215,1349,4937,40119,17009,6090,9344,11298,10201,1208,17931,14549,16399,9537,7361,10268,1539,6208,12024,1075,29557,6455,63989,34901,828,17901,10162,14731,22708,2510,10246,845,16770,152496,6455,151,20468,21708,1740,10121,1073,13468
2018,Male,35-44,"9th to 12th grade, no diploma",31792,2022,40516,12973,233389,23466,10225,4190,1652,102836,63158,4936,6527,55374,33317,9757,13379,22202,31759,3649,22019,21709,39040,19857,19408,24680,3075,7938,19280,3947,28585,14680,80996,52912,1889,46861,21813,19629,44200,3737,28664,2442,31723,183604,14629,2261,33163,33443,9098,20018,2095,17104
2018,Male,35-44,High school graduate (includes equivalency),94557,15126,109089,64251,574176,86362,55363,20215,7136,385146,197983,24826,32069,206404,125342,53634,39902,93331,107941,24140,93656,97586,160944,77755,61193,114614,18644,27814,58176,21798,137356,37248,302906,155051,11078,206936,83340,59717,234101,18700,92689,15384,144101,502202,45650,9154,125980,108188,43848,103723,10345,59245
2018,Male,35-44,"Some college, no degree",55398,14077,106447,42065,528909,80395,35419,9325,7187,233989,118338,17516,24504,159969,82726,38356,42215,57716,57253,16205,67982,57768,132450,72566,40041,78172,15299,24711,50162,14986,93246,29666,180996,131329,9405,150321,51962,61474,125523,12282,61905,10160,83255,390683,45294,6919,100090,103525,26259,70544,8971,22494
2018,Male,35-44,Associate's degree,23176,3231,42542,13096,181794,33716,13087,3385,997,120401,53447,11025,10407,64433,37505,24578,17530,21846,19424,7073,25263,25014,48705,47802,18563,31572,6345,15521,17091,7370,33863,10865,102786,54166,7978,58862,21116,24084,66755,4016,28189,8237,28939,141998,22856,3128,37982,51093,8184,42932,4884,26063
